时间,sx,,重新排序列,dx
2017\8\7 19:36,157,,1309,78
2017\8\7 19:38,129,,1310,64
2017\8\7 19:40,134,,1311,67
2017\8\7 19:42,114,,1312,57
2017\8\7 19:44,145,,1313,72
2017\8\7 19:46,128,,1314,64
2017\8\7 19:48,125,,1315,62
2017\8\7 19:50,104,,1316,52
2017\8\7 19:52,121,,1317,60
2017\8\7 19:54,149,,1318,74
2017\8\7 19:56,126,,1319,63
2017\8\7 19:58,105,,1320,52
2017\8\7 20:00,115,,1321,57
2017\8\7 20:02,98,,1322,49
2017\8\7 20:04,76,,1323,38
2017\8\7 20:06,67,,1324,33
2017\8\7 20:08,102,,1325,51
2017\8\7 20:10,105,,1326,52
2017\8\7 20:12,91,,1327,45
2017\8\7 20:14,80,,1328,40
2017\8\7 20:16,119,,1329,59
2017\8\7 20:18,121,,1330,60
2017\8\7 20:20,75,,1331,37
2017\8\7 20:22,66,,1332,33
2017\8\7 20:24,82,,1333,41
2017\8\7 20:26,76,,1334,38
2017\8\7 20:28,130,,1335,65
2017\8\7 20:30,76,,1336,38
2017\8\7 20:32,44,,1337,22
2017\8\7 20:34,92,,1338,46
2017\8\7 20:36,115,,1339,57
2017\8\7 20:38,92,,1340,46
2017\8\7 20:40,69,,1341,34
2017\8\7 20:42,78,,1342,39
2017\8\7 20:44,98,,1343,49
2017\8\7 20:46,41,,1344,20
2017\8\7 20:48,79,,1345,39
2017\8\7 20:50,78,,1346,39
2017\8\7 20:52,88,,1347,44
2017\8\7 20:54,80,,1348,40
2017\8\7 20:56,70,,1349,35
2017\8\7 20:58,62,,1350,31
2017\8\7 21:00,95,,1351,47
2017\8\7 21:02,90,,1352,45
2017\8\7 21:04,61,,1353,30
2017\8\7 21:06,88,,1354,44
2017\8\7 21:08,39,,1355,19
2017\8\7 21:10,65,,1356,32
2017\8\7 21:12,81,,1357,40
2017\8\7 21:14,103,,1358,51
2017\8\7 21:16,58,,1359,29
2017\8\7 21:18,70,,1360,35
2017\8\7 21:20,77,,1361,38
2017\8\7 21:22,96,,1362,48
2017\8\7 21:24,96,,1363,48
2017\8\7 21:26,44,,1364,22
2017\8\7 21:28,54,,1365,27
2017\8\7 21:30,79,,1366,39
2017\8\7 21:32,39,,1367,19
2017\8\7 21:34,57,,1368,28
2017\8\7 21:36,68,,1369,34
2017\8\7 21:38,41,,1370,20
2017\8\7 21:40,55,,1371,27
2017\8\7 21:42,49,,1372,24
2017\8\7 21:44,53,,1373,26
2017\8\7 21:46,52,,1374,26
2017\8\7 21:48,50,,1375,25
2017\8\7 21:50,40,,1376,20
2017\8\7 21:52,38,,1377,19
2017\8\7 21:54,41,,1378,20
2017\8\7 21:56,65,,1379,32
2017\8\7 21:58,17,,1380,8
2017\8\7 22:00,21,,1381,10
2017\8\7 22:02,71,,1382,35
2017\8\7 22:04,82,,1383,41
2017\8\7 22:06,48,,1384,24
2017\8\7 22:08,54,,1385,27
2017\8\7 22:10,48,,1386,24
2017\8\7 22:12,60,,1387,30
2017\8\7 22:14,66,,1388,33
2017\8\7 22:16,35,,1389,17
2017\8\7 22:18,42,,1390,21
2017\8\7 22:20,61,,1391,30
2017\8\7 22:22,28,,1392,14
2017\8\7 22:24,23,,1393,11
2017\8\7 22:26,42,,1394,21
2017\8\7 22:28,22,,1395,11
2017\8\7 22:30,8,,1396,4
2017\8\7 22:32,47,,1397,23
2017\8\7 22:34,10,,1398,5
2017\8\7 22:36,28,,1399,14
2017\8\7 22:38,32,,1400,16
2017\8\7 22:40,14,,1401,7
2017\8\7 22:42,10,,1402,5
2017\8\7 22:44,30,,1403,15
2017\8\7 22:46,33,,1404,16
2017\8\7 22:48,14,,1405,7
2017\8\7 22:50,23,,1406,11
2017\8\7 22:52,13,,1407,6
2017\8\7 22:54,11,,1408,5
2017\8\7 22:56,27,,1409,13
2017\8\7 22:58,16,,1410,8
2017\8\7 23:00,12,,1411,6
2017\8\7 23:02,10,,1412,5
2017\8\7 23:04,3,,1413,1
2017\8\7 23:06,1,,1414,0
2017\8\7 23:08,13,,1415,6
2017\8\7 23:10,15,,1416,7
2017\8\7 23:12,2,,1417,1
2017\8\7 23:14,4,,1418,2
2017\8\7 23:16,3,,1419,1
2017\8\7 23:18,1,,1420,0
2017\8\7 23:20,3,,1421,1
2017\8\7 23:22,0,,1422,0
2017\8\7 23:24,3,,1423,1
2017\8\7 23:26,10,,1424,5
2017\8\7 23:28,5,,1425,2
2017\8\7 23:30,0,,1426,0
2017\8\7 23:32,8,,1427,4
2017\8\7 23:34,1,,1428,0
2017\8\7 23:36,2,,1429,1
2017\8\7 23:38,0,,1430,0
2017\8\7 23:40,4,,1431,2
2017\8\7 23:42,8,,1432,4
2017\8\7 23:44,0,,1433,0
2017\8\7 23:46,0,,1434,0
2017\8\7 23:48,2,,1435,1
2017\8\7 23:50,0,,1436,0
2017\8\7 23:52,0,,1437,0
2017\8\7 23:54,3,,1438,1
2017\8\7 23:56,0,,1439,0
2017\8\7 23:58,0,,1440,0
2017\8\8 0:00,1,,1441,0
2017\8\8 0:02,0,,1442,0
2017\8\8 0:04,0,,1443,0
2017\8\8 0:06,0,,1444,0
2017\8\8 0:08,0,,1445,0
2017\8\8 0:10,0,,1446,0
2017\8\8 0:12,0,,1447,0
2017\8\8 0:14,0,,1448,0
2017\8\8 0:16,0,,1449,0
2017\8\8 0:18,0,,1450,0
2017\8\8 0:20,0,,1451,0
2017\8\8 0:22,0,,1452,0
2017\8\8 0:24,0,,1453,0
2017\8\8 0:26,0,,1454,0
2017\8\8 0:28,0,,1455,0
2017\8\8 0:30,0,,1456,0
2017\8\8 0:32,0,,1457,0
2017\8\8 0:34,0,,1458,0
2017\8\8 0:36,0,,1459,0
2017\8\8 0:38,0,,1460,0
2017\8\8 0:40,0,,1461,0
2017\8\8 0:42,0,,1462,0
2017\8\8 0:44,0,,1463,0
2017\8\8 0:46,0,,1464,0
2017\8\8 0:48,0,,1465,0
2017\8\8 0:50,0,,1466,0
2017\8\8 0:52,0,,1467,0
2017\8\8 0:54,0,,1468,0
2017\8\8 0:56,0,,1469,0
2017\8\8 0:58,0,,1470,0
2017\8\8 1:00,0,,1471,0
2017\8\8 1:02,0,,1472,0
2017\8\8 1:04,0,,1473,0
2017\8\8 1:06,0,,1474,0
2017\8\8 1:08,0,,1475,0
2017\8\8 1:10,0,,1476,0
2017\8\8 1:12,0,,1477,0
2017\8\8 1:14,0,,1478,0
2017\8\8 1:16,0,,1479,0
2017\8\8 1:18,0,,1480,0
2017\8\8 1:20,0,,1481,0
2017\8\8 1:22,0,,1482,0
2017\8\8 1:24,0,,1483,0
2017\8\8 1:26,0,,1484,0
2017\8\8 1:28,0,,1485,0
2017\8\8 1:30,0,,1486,0
