,driver_id,pd_lat,pd_lon,datetime
0,453235,39.92436773847,116.14840651844584,2018-02-19 00:25:53
1,453235,39.924163544417645,116.15335710776873,2018-02-19 00:26:13
2,453235,39.924469687313035,116.16322822043031,2018-02-19 00:26:43
3,453235,39.92446596313317,116.16556257557369,2018-02-19 00:26:53
4,453235,39.92445746527777,116.1660009765625,2018-02-19 00:27:03
5,453235,39.924432336891634,116.16856637655846,2018-02-19 00:27:13
6,453235,39.92446448509512,116.17049330949264,2018-02-19 00:27:23
7,453235,39.92435408641498,116.17243391909523,2018-02-19 00:27:33
8,453235,39.92429044318175,116.18351836100435,2018-02-19 00:28:23
9,453235,39.924575194172384,116.18596935381471,2018-02-19 00:28:33
10,66114,39.924501727091105,116.1844737651586,2018-02-19 01:47:21
11,66114,39.92427187905243,116.18207826423664,2018-02-19 01:47:31
12,66114,39.924354108585156,116.17269871443831,2018-02-19 01:48:11
13,66114,39.92454768214955,116.1707250439083,2018-02-19 01:48:21
14,66114,39.92461835262144,116.16854276892664,2018-02-19 01:48:31
15,66114,39.92470244356731,116.16644373231988,2018-02-19 01:48:41
16,66114,39.92469820104331,116.16442010529937,2018-02-19 01:48:51
17,66114,39.9247622297793,116.16255252401248,2018-02-19 01:49:01
18,66114,39.92484197430544,116.16132446071741,2018-02-19 01:49:11
19,64951,39.92467083275586,116.18671793556022,2018-02-19 04:09:18
20,64951,39.92467083275586,116.18671793556022,2018-02-19 04:09:20
21,64951,39.92467083275586,116.18671793556022,2018-02-19 04:09:22
22,64951,39.92467083275586,116.18671793556022,2018-02-19 04:09:24
23,64951,39.92467083275586,116.18671793556022,2018-02-19 04:09:26
24,64951,39.924670138888885,116.18671712239583,2018-02-19 04:09:28
25,64951,39.924670138888885,116.18671712239583,2018-02-19 04:09:30
26,64951,39.924607616740474,116.18665310863301,2018-02-19 04:09:32
27,64951,39.924536008635975,116.18661985913269,2018-02-19 04:09:34
28,64951,39.92441939253501,116.18658992801791,2018-02-19 04:09:36
29,64951,39.924274401948296,116.18658159963293,2018-02-19 04:09:38
30,54795,39.925057289722034,116.16906036688387,2018-02-19 04:37:48
31,54795,39.92442148409379,116.16930891807871,2018-02-19 04:37:58
32,54795,39.92433850312753,116.17038714394478,2018-02-19 04:38:08
33,54795,39.92432440473932,116.17145096118051,2018-02-19 04:38:18
34,54795,39.92432084720269,116.17180918863735,2018-02-19 04:38:28
35,54795,39.92431450334941,116.1718647607613,2018-02-19 04:38:38
36,54795,39.92419858685989,116.18317701565672,2018-02-19 04:40:18
37,54795,39.92431169407657,116.18446167106438,2018-02-19 04:40:28
38,54795,39.92442378399054,116.18558236839253,2018-02-19 04:40:38
39,54795,39.924490571487134,116.18628605644949,2018-02-19 04:40:48
40,54795,39.92446436021603,116.18629695266277,2018-02-19 04:40:58
41,54795,39.92444906082447,116.18629628260338,2018-02-19 04:41:08
42,54795,39.924454927720454,116.18631428300391,2018-02-19 04:41:18
43,54795,39.92446539088497,116.18632900316123,2018-02-19 04:41:28
44,54795,39.92446261935764,116.18632514105906,2018-02-19 04:41:38
45,54795,39.92447422712269,116.18632583314265,2018-02-19 04:41:48
46,54795,39.92447428385417,116.18632459852431,2018-02-19 04:41:58
47,54795,39.924474555121535,116.18632459852431,2018-02-19 04:42:08
48,54795,39.924475844752415,116.18634334437908,2018-02-19 04:42:18
49,76813,39.92424263506594,116.11525208498637,2018-02-19 05:05:08
50,76813,39.9250365360849,116.14674893376646,2018-02-19 05:13:08
51,76813,39.92436712137715,116.14848892825971,2018-02-19 05:13:18
52,76813,39.92416605694401,116.15229634131576,2018-02-19 05:13:39
53,76813,39.92422690590932,116.15422958244879,2018-02-19 05:13:48
54,76813,39.92415426170332,116.15623853143136,2018-02-19 05:13:58
55,76813,39.92414432822154,116.15826063731808,2018-02-19 05:14:08
56,76813,39.92435936135549,116.160225068162,2018-02-19 05:14:18
57,76813,39.9244924553974,116.16212838804285,2018-02-19 05:14:28
58,76813,39.924480714348135,116.16393916815494,2018-02-19 05:14:38
59,76813,39.92448495731349,116.16571140261728,2018-02-19 05:14:48
60,76813,39.924468308214976,116.1673257382803,2018-02-19 05:14:58
61,76813,39.92446700012233,116.16891698431431,2018-02-19 05:15:08
62,76813,39.924448817201146,116.17049514363138,2018-02-19 05:15:18
63,76813,39.924416312954094,116.17193695959612,2018-02-19 05:15:28
64,76813,39.924306394832286,116.18290769935476,2018-02-19 05:16:29
65,76813,39.92449621817111,116.1849308158212,2018-02-19 05:16:39
66,65616,39.92424703444061,116.14902204764677,2018-02-19 05:19:39
67,65616,39.9241477235201,116.15114588657205,2018-02-19 05:19:49
68,65616,39.92419873217109,116.1534176589554,2018-02-19 05:19:59
69,65616,39.924178674765685,116.15563218700376,2018-02-19 05:20:09
70,65616,39.92416065503959,116.15790847406899,2018-02-19 05:20:19
71,65616,39.924330546544454,116.1600159075012,2018-02-19 05:20:29
72,65616,39.924486026569454,116.1620544686,2018-02-19 05:20:39
73,65616,39.924470750709844,116.16417410018325,2018-02-19 05:20:49
74,65616,39.9244634796029,116.16643402258634,2018-02-19 05:20:59
75,65616,39.92444385886015,116.16873834252729,2018-02-19 05:21:09
76,65616,39.92443421577855,116.17103908785131,2018-02-19 05:21:19
77,65616,39.924252717403114,116.1826645690985,2018-02-19 05:22:19
78,65616,39.924435987065685,116.18463998540872,2018-02-19 05:22:29
79,65616,39.9246137566919,116.18655060245749,2018-02-19 05:22:39
80,102460,39.92423422209525,116.16054072112358,2018-02-19 05:27:58
